,Years,Network,Results,Avg
0,2017,ABC,Golden State Warriors,11.3
1,2016,ABC,Cleveland Cavaliers,11.4
2,2015,ABC,Golden State Warriors,11.6
3,2014,ABC,San Antonio Spurs,9.3
4,2013,ABC,Miami Heat,10.4
5,2012,ABC,Miami Heat,10.1
6,2011,ABC,Dallas Mavericks,10.2
7,2010,ABC,Los Angeles Lakers,10.6
8,2009,ABC,Los Angeles Lakers,8.4
9,2008,ABC,Boston Celtics,9.3
10,2007,ABC,San Antonio Spurs,6.2
11,2006,ABC,Miami Heat,8.5
12,2005,ABC,San Antonio Spurs,8.2
13,2004,ABC,Detroit Pistons,11.5
14,2003,ABC,San Antonio Spurs,6.5
15,2002,NBC,Los Angeles Lakers,10.2
16,2001,NBC,Los Angeles Lakers,12.1
17,2000,NBC,Los Angeles Lakers,11.6
18,1999,NBC,San Antonio Spurs,11.3
19,1998,NBC,Chicago Bulls,18.7
20,1997,NBC,Chicago Bulls,16.8
21,1996,NBC,Chicago Bulls,16.7
22,1995,NBC,Houston Rockets,13.9
23,1994,NBC,Houston Rockets,12
24,1993,NBC,Chicago Bulls,17.9
25,1992,NBC,Chicago Bulls,14.2
26,1991,NBC,Chicago Bulls,15.8
27,1990,CBS,Detroit Pistons,12.3
28,1989,CBS,Detroit Pistons,15.1
29,1988,CBS,Los Angeles Lakers,15.4
30,1987,CBS,Los Angeles Lakers,15.9
31,1986,CBS,Boston Celtics,14.1
32,1985,CBS,Los Angeles Lakers,13.5
33,1984,CBS,Boston Celtics,12.1
34,1983,CBS,Philadelphia 76ers,12.3
35,1982,CBS,Los Angeles Lakers,13
36,1981,CBS,Boston Celtics,6.7
37,1980,CBS,Los Angeles Lakers,8
38,1979,CBS,Seattle SuperSonics,7.2
39,1978,CBS,Washington Bullets,9.9
40,1977,CBS,Portland Trail Blazers,12.7
41,1976,CBS,Boston Celtics,11.5
